Record ID,Date Closed,Due Date,Implementation Phase,Implementation Type,CA ID,Record ID,Target Implementation Date,Status,Lifecycle State,QE ID,URL-Record ID,URL-Record ID
CA-017640,,,N/A,Pre-Implementation,CA-017640,QE-007196,31-Jul-24,Active,In Assessment & Plan Building,QE-007196,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z7011,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7003
CA-017639,,,,Pre-Implementation,CA-017639,QE-007093,09-Aug-24,Active,In Assessment & Plan Building,QE-007093,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z7010,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000W4001
CA-017638,,,,Pre-Implementation,CA-017638,QE-007093,09-Aug-24,Active,In Assessment & Plan Building,QE-007093,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z7008,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000W4001
CA-017637,,02-Aug-24,N/A,Pre-Implementation,CA-017637,QE-007222,26-Jul-24,Active,In Assessment & Plan Building,QE-007222,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z6011,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000XA010
CA-017636,,,N/A,Pre-Implementation,CA-017636,QE-007157,30-Sep-24,Active,In Assessment & Plan Building,QE-007157,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z7007,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WT007
CA-017635,,,Phase 2,Pre-Implementation,CA-017635,QE-007208,31-Dec-24,Active,In Assessment & Plan Building,QE-007208,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z6010,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7010
CA-017634,,,Phase 2,Pre-Implementation,CA-017634,QE-007208,31-Dec-24,Active,In Assessment & Plan Building,QE-007208,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z7006,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7010
CA-017633,,,Phase 2,Pre-Implementation,CA-017633,QE-007208,31-Dec-24,Active,In Assessment & Plan Building,QE-007208,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z6009,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7010
CA-017632,,,Phase 1,Pre-Implementation,CA-017632,QE-007208,31-Dec-24,Active,In Assessment & Plan Building,QE-007208,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z6008,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7010
CA-017631,,31-Dec-24,phase 1,Pre-Implementation,CA-017631,QE-007202,31-Dec-24,Active,In Pre-Implementation Execution,QE-007202,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z7005,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7006
CA-017630,,31-Dec-24,Phase 1,Pre-Implementation,CA-017630,QE-007202,31-Dec-24,Active,In Pre-Implementation Execution,QE-007202,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z7004,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000X7006
CA-017629,,15-Nov-24,,Post-Implementation,CA-017629,QE-007156,24-Oct-24,Active,In Assessment & Plan Building,QE-007156,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z7003,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WT005
CA-017628,,03-Feb-25,N/A,Post-Implementation,CA-017628,QE-007159,17-Jun-24,Active,In Post-Implementation Execution,QE-007159,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z7002,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS004
CA-017627,,,,Post-Implementation,CA-017627,QE-007160,24-Jun-24,Active,In Change Plan Approval,QE-007160,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z8004,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS005
CA-017626,,,,Post-Implementation,CA-017626,QE-007160,24-Jun-24,Active,In Change Plan Approval,QE-007160,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/change_action__qdm/OPA0000000Z8003,https://bluebirdbio-qualitydocs.veevavault.com/ui/#object/quality_event__qdm/OP20000000WS005
